City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kailua-kona,19.6406,-155.9956,29.98,80,75,6.17,US,1690410499
83,lerwick,60.1545,-1.1494,10.0,85,4,1.89,GB,1690410912
84,bilibino,68.0546,166.4372,11.94,67,35,2.09,RU,1690410785
85,margaret river,-33.95,115.0667,12.79,73,100,7.16,AU,1690410764
86,sultanah,24.4926,39.5857,37.25,9,0,5.14,SA,1690410777
87,fisterra,42.9049,-9.2629,19.3,86,15,6.03,ES,1690410792
88,ponnani,10.767,75.9252,22.62,87,100,3.22,IN,1690411171
89,anshan,41.1236,122.99,26.43,77,2,3.56,CN,1690411171
90,laranjeiras do sul,-25.4078,-52.4161,15.0,86,78,0.52,BR,1690411171
91,chernyshevskiy,63.0128,112.4714,16.29,71,55,4.2,RU,1690410826
92,castillos,-34.1667,-53.8333,10.44,80,57,6.55,UY,1690411053
93,grand falls-windsor,48.9332,-55.6649,20.41,85,80,2.7,CA,1690411046
94,edna,28.9786,-96.6461,36.08,59,59,7.09,US,1690411172
95,weno,7.4515,151.8468,25.97,94,100,1.54,FM,1690410752
96,jamestown,42.097,-79.2353,28.77,53,75,5.66,US,1690410606
97,sabang,5.8933,95.3214,28.03,78,96,8.82,ID,1690410865
98,northam,51.0333,-4.2167,17.59,98,100,9.74,GB,1690411142
99,st. john's,47.5649,-52.7093,24.66,52,75,8.23,CA,1690410609
100,la ronge,55.1001,-105.2842,13.14,88,100,7.72,CA,1690410796
101,linxia chengguanzhen,35.6003,103.2064,16.06,91,100,1.24,CN,1690411173
102,nungwi,-5.7265,39.2987,24.79,75,28,5.36,TZ,1690411173
103,alice springs,-23.7,133.8833,11.75,71,75,0.0,AU,1690410826
104,pariaman,-0.619,100.12,24.03,85,100,1.34,ID,1690411018
105,tucuma,-0.1833,-50.05,26.42,79,48,3.3,BR,1690411173
106,urdinarrain,-32.6857,-58.8932,10.93,66,0,3.54,AR,1690411139
107,klaksvik,62.2266,-6.589,9.51,77,44,2.25,FO,1690410836
108,mahalapye,-23.1041,26.8142,14.02,61,0,3.46,BW,1690411173
109,karak,31.1667,35.75,25.44,24,0,1.95,JO,1690411174
110,little falls,40.869,-74.2082,31.33,55,0,5.14,US,1690411174
111,maumere,-8.6199,122.2111,23.8,78,32,2.7,ID,1690411075
112,saint-philippe,-21.3585,55.7679,19.77,83,30,5.31,RE,1690411174
113,preobrazheniye,42.9019,133.9064,22.94,88,100,2.86,RU,1690411174
114,kalmunai,7.4167,81.8167,26.5,77,100,2.66,LK,1690410829
115,pong,19.1493,100.2752,23.61,98,68,0.99,TH,1690411174
116,tomatlan,19.9333,-105.25,31.99,55,89,3.78,MX,1690410770
117,praia da vitoria,38.7333,-27.0667,23.14,83,20,2.37,PT,1690410838
118,happy valley-goose bay,53.3168,-60.3315,26.17,36,75,2.06,CA,1690411075
119,lamu,-2.2717,40.902,24.12,82,57,6.85,KE,1690411175
120,rundu,-17.9333,19.7667,14.53,38,0,1.7,NA,1690411175
121,taghazout,30.5426,-9.7112,21.43,80,0,1.05,MA,1690411175
122,anadyr,64.75,177.4833,12.28,81,100,4.0,RU,1690410772
123,dhamar,14.5427,44.4051,19.69,44,80,0.47,YE,1690411175
124,sao felix do xingu,-6.6447,-51.995,27.67,42,26,0.12,BR,1690411176
125,arraial do cabo,-22.9661,-42.0278,21.92,83,0,6.69,BR,1690410793
126,moree,-29.4667,149.85,13.67,64,0,3.65,AU,1690410959
127,el bauga,18.262,33.9081,33.65,35,96,5.92,SD,1690411176
128,guiuan,11.0333,125.7247,29.03,76,100,7.8,PH,1690411176
129,mariinsk,56.2139,87.7472,14.55,83,1,2.15,RU,1690411176
130,yellowknife,62.456,-114.3525,25.29,29,75,4.63,CA,1690410768
131,nizhneudinsk,54.9076,99.0276,15.56,92,98,1.4,RU,1690411176
132,san ignacio de velasco,-16.3667,-60.95,24.75,46,62,1.85,BO,1690411176
133,puyang chengguanzhen,35.7028,115.0053,26.66,76,10,2.17,CN,1690411177
134,chita,52.0333,113.55,14.94,100,75,2.0,RU,1690410798
135,ciudad lazaro cardenas,17.9583,-102.2,31.02,59,38,4.6,MX,1690411177
136,arvayheer,46.2639,102.775,14.59,66,54,1.27,MN,1690411177
137,turpan,42.9333,89.1667,35.24,12,2,1.4,CN,1690411165
138,baihe,22.15,107.2333,25.96,87,93,0.9,CN,1690411177
139,franklin,39.9667,-83.0166,32.11,67,75,7.2,US,1690411079
140,margate,51.3813,1.3862,16.28,94,100,4.47,GB,1690411066
141,ataq,14.5377,46.8319,26.36,50,90,4.08,YE,1690411178
142,zag,46.9441,99.165,12.0,61,20,0.53,MN,1690411178
143,pryvillya,49.015,38.3046,22.75,42,8,2.46,UA,1690411179
144,alesund,62.4723,6.1549,15.18,89,100,3.09,NO,1690411092
145,tucumcari,35.1717,-103.725,38.86,17,0,8.75,US,1690411108
146,olyokminsk,60.3736,120.4264,21.45,78,9,2.18,RU,1690410989
147,ulsteinvik,62.3432,5.8487,17.09,89,85,0.89,NO,1690410892
148,coahuayana de hidalgo,18.7,-103.6583,31.53,62,83,2.47,MX,1690410941
149,santa luzia,-19.7697,-43.8514,21.5,69,0,5.66,BR,1690411180
150,iqaluit,63.7506,-68.5145,9.85,71,40,1.54,CA,1690410748
151,gadzhiyevo,69.2551,33.3362,10.07,96,100,1.19,RU,1690410761
152,gambiran satu,-8.3939,114.1464,19.56,94,51,0.92,ID,1690411180
153,hilo,19.7297,-155.09,28.47,80,0,4.12,US,1690410784
154,albany,42.6001,-73.9662,29.24,66,83,0.45,US,1690410745
155,serdar,38.9764,56.2757,26.94,67,93,6.53,TM,1690411181
156,nibley,41.6744,-111.833,35.67,27,0,3.09,US,1690411181
157,saint-pierre,-21.3393,55.4781,19.82,83,20,3.09,RE,1690410781
158,iskateley,67.6803,53.1512,14.74,75,49,1.75,RU,1690410746
159,san antonio de pale,-1.4014,5.6325,22.8,90,93,4.27,GQ,1690410800
160,muravlenko,63.7898,74.523,18.28,72,76,2.11,RU,1690411182
161,columbus,39.9612,-82.9988,31.98,67,75,7.2,US,1690410580
162,san patricio,28.017,-97.5169,36.76,48,0,7.87,US,1690410742
163,kabansk,52.0486,106.6528,16.33,79,94,1.9,RU,1690411182
164,lebu,-37.6167,-73.65,8.89,84,100,1.29,CL,1690410808
165,hamilton,39.1834,-84.5333,32.07,67,20,8.23,US,1690410505
166,amga,60.8953,131.9608,19.21,61,94,1.43,RU,1690410760
167,ribeira grande,38.5167,-28.7,23.21,92,13,1.79,PT,1690410766
168,arno,60.1167,18.6333,13.23,73,34,3.73,SE,1690410987
169,bharatpur,27.2167,77.4833,28.48,78,100,0.99,IN,1690411183
170,chipinge,-20.1883,32.6236,9.54,90,7,1.45,ZW,1690410929
171,severo-yeniseyskiy,60.3725,93.0408,15.0,95,100,1.2,RU,1690411183
172,sinjar,36.3209,41.8754,30.98,19,0,0.69,IQ,1690411183
173,mar del plata,-38.0023,-57.5575,10.61,83,100,8.05,AR,1690411183
174,corumba,-19.0092,-57.6533,26.84,65,40,0.0,BR,1690411184
175,arteche,12.2645,125.4048,26.96,80,100,3.53,PH,1690411184
176,bada,51.392,109.8717,14.02,96,100,1.68,RU,1690411184
177,rongelap,11.1635,166.8941,28.24,81,100,8.29,MH,1690410767
178,klyuchi,52.2667,79.1667,22.0,37,100,2.77,RU,1690410753
179,cuamba,-14.8031,36.5372,14.67,93,1,1.62,MZ,1690411184
180,inarajan village,13.2736,144.7484,26.54,96,100,9.22,GU,1690410821
181,itaueira,-7.6033,-43.0256,26.15,37,12,2.69,BR,1690411184
182,yuzhno-kurilsk,44.0306,145.8556,20.71,87,77,2.11,RU,1690410959
183,ketchikan,55.3422,-131.6461,18.26,72,100,4.63,US,1690410931
184,tongren,27.7172,109.1853,24.44,96,99,1.17,CN,1690411185
185,puerto san jose,13.9256,-90.8244,31.22,60,29,4.22,GT,1690411083
186,sandwip,22.4678,91.4561,27.76,85,46,9.82,BD,1690411185
187,nar'yan-mar,67.6713,53.087,14.91,74,54,1.68,RU,1690410760
188,boke,10.9409,-14.2967,24.36,97,80,0.68,GN,1690411185
189,saldanha,-33.0117,17.9442,9.03,94,87,5.2,ZA,1690411020
190,sungai raya,0.7,108.9,25.35,89,96,3.97,ID,1690411185
191,college,64.8569,-147.8028,27.26,60,75,1.54,US,1690410777
192,aasiaat,68.7098,-52.8699,3.62,91,37,4.03,GL,1690410792
193,lashio,22.9333,97.75,19.72,99,57,0.44,MM,1690411186
194,tegueste,28.5167,-16.3167,20.92,87,75,8.75,ES,1690411186
195,badger,64.8,-147.5333,27.21,58,75,1.54,US,1690410765
196,kudahuvadhoo,2.6708,72.8944,28.21,77,50,4.53,MV,1690411186
197,east london,-33.0153,27.9116,17.38,73,83,6.84,ZA,1690410750
198,xichang,27.8964,102.2634,19.48,92,94,0.71,CN,1690411065
199,belmonte,-15.8631,-38.8828,23.53,71,73,3.25,BR,1690410784
200,afaahiti,-17.75,-149.2833,25.93,86,55,3.79,PF,1690410787
201,iquique,-20.2208,-70.1431,19.02,85,13,0.59,CL,1690410926
202,moissala,8.3404,17.7663,21.18,97,90,0.84,TD,1690411186
203,pithoragarh,29.5833,80.2167,18.33,96,100,0.67,IN,1690411168
204,westport,41.1415,-73.3579,30.34,68,0,4.02,US,1690411121
205,acapulco de juarez,16.8634,-99.8901,32.9,58,40,6.69,MX,1690411023
206,tanabe,33.7333,135.3667,29.16,69,18,0.49,JP,1690411187
